abâ	cloak / robe (Noun)
bača-i	a child / an infant (Noun Complex)
bačêyal	children / babies (Noun [Plural])
bäđa	after (doing something) (Preposition)
bäđ	after / later / afterwards (Preposition/Adverb)
bâđ	wind (Noun)
bađ	bad (Noun)
bađal	bad things / bad winds / discarded elements (Noun (Plural) Complex)
bâêsâbiyom	caused [Compound: +I became] (Verb Complex)
bâêsâbu	caused [Compound: +it became] (Verb Complex)
bâês	cause / reason / because (Noun/Conjunction)
bâften	weaving / to weave (Verb/Infinitive)
bâǧabunal	gardeners / vine-growers (Noun (Plural) Complex)
bâǧabunal-i	certain gardeners / plural group reference (Noun Complex)
bâǧabun	gardener / vine-grower (Noun)
bâǧ	garden / orchard / vineyard (Noun)
bâhenda		bird / winged creature (Noun)
bâj	tax / tribute (Noun)
bâlâtar	higher / superior (Adjective (Comparative))
bâlâ	up / above / top (Noun/Preposition)
bâlei	on / upon / over / above (Preposition)
bâl gêrotan		to take flight / to take off / to lift off into the air (Complex Verb)
bâqimonda	left over / remaining (Adjective/Participle)
bâqi	remaining / rest / remainder (Noun/Adjective)
Bârâbâs	Barabbas (Biblical name) (Proper Noun)
bâral	burdens / fruits / times (Noun (Plural) Complex)
bâr	burden / load / fruit / time (Noun)
barm	pool (Noun)
bârun	rain (Noun)
bârunza	rained / rain struck (Verb (Past Compound))
bâšêkuh	glorious / magnificent (Adjective)
bâ-šun	with them (Preposition + Enclitic)
bâ-š	with him / with it (Preposition + Enclitic)
bâtel	void / invalid / cancelled (Adjective)
bâten	inside / inward nature / heart (Noun)
bâvar	belief / trust / acceptance (Noun)
baw	father / grandpa (affectionate terms) (Noun)
bâ	with / by / together (Preposition)
bâxavarâbiyen	aware [Compound: +they became] (Verb Complex)
bâxavarâbun	aware [Compound: +let them become] (Verb Complex)
bâxavarânabu	aware [Compound: +did not become] (Verb Complex)
bâxavar	informed / aware / conscious (Adjective)
bâyad	must / should (Auxiliary Verb)
bâyes	must / ought to / should (Auxiliary Verb)
bây	wind / breeze / air current (Noun)
bâzâr	market / bazaar (Noun)
bâzêyâr		farmer / reaper / cultivator (Noun)
bâzu-šun	their arms / upper limbs (Noun Complex)
behsan vadin		to tail / to pursue / to chevy (Complex Verb)
behsen	they throw  (Verb (Past Plural))
bei	by / with (Preposition/Conjunction)
beit	be / that you be (Verb (Subjunctive/Imperative))
beitlahem	Bethlehem (Biblical location) (Proper Noun)
bël	let / allow / leave (Verb (Imperative))
bengešt		sparrow (Noun)
bêřam	let me go / that I go (Verb (Subjunctive 1st Sg))
bêřase	that it reach / that it fulfill (Verb (Subjunctive 3rd Sg))
bêriya	cut  (Adjective/Participle)
bêriyan	to cut  (Verb Complex)
bêsike	sent / dispatched out (Verb (Past Compound))
bêsi	sent / dispatched (Verb (Past))
bêsune	that he take / seize (Verb (Subjunctive 3rd Sg))
bêsun	take! / seize! (Verb (Imperative))
bêtare	that he can / be able to (Verb (Subjunctive 3rd Sg))
bêtarit	that you can / be able to (Verb (Subjunctive 2nd Pl))
bê-	to / let / should (Subjunctive Prefix)
bêvinen	that they see (Verb (Subjunctive 3rd Pl))
bêvinim	that we see (Verb (Subjunctive 1st Pl))
bêxâ	that he want / requests (Verb (Subjunctive 3rd Sg))
bêxeit	that you want / request (Verb (Subjunctive 2nd Pl))
bextar	better / preferable (Adjective (Comparative))
biâbun	desert / wilderness (Noun)
bi-aw	waterless / dry (Adjective)
bi-imun	faithless / unbelieving (Adjective)
bikâr	unemployed / idle / without work (Adjective)
bi-sarosêyâ	quietly / secretly / without noise (Adverb)
bisêyâ	silent / voiceless (Adjective)
bisom	twentieth (Ordinal Numeral)
bištar	more / greater amount (Adjective/Adverb (Comparative))
bi	without (Preposition)
biyan	being / to be / existence (Noun/Infinitive)
biyen	they were (Verb (Past Plural))
biy	was (Verb (Past))
boland	high / tall / loud (Adjective)
bolandtar	higher / taller / louder (Adjective (Comparative))
bolandtarin	highest / tallest (Adjective (Superlative))
bol		jump (Noun)
bol kêrdan		to jump / to leap / to bounce upward / to spring (Complex Verb)
borj	tower (Noun)
boř	open / seeing / uncovered (e.g., eyes opened) (Adjective)
bota	bush / shrub (Noun)
bot	throat / neck (Noun)
bözal	goats (Noun (Plural) Complex)
boz	goat (Noun)
buandi	you tied / bound (Verb (Subjunctive/Past 2nd Sg))
buand	tie! / bind! / close! (Verb (Imperative 3rd Sg))
buaxšom	that I forgive (Verb (Subjunctive 1st Sg))
Büaz	Boaz (Biblical name) (Proper Noun)
bu	be / let it be (Verb (Subjunctive 3rd Sg))
buq	trumpet / horn (Noun)
čan	few / several / how many / some (Adjective/Quantifier)
čantâ	a few / several / a handful of (Quantifier)
čap	left / left hand / left side (Noun/Adjective)
čârda	fourteen (Numeral)
čârdahom	fourteenth (Ordinal Numeral)
čarmi	made of leather / leathery (Adjective)
čarm	leather / animal skin / hide (Noun)
čarm-o-pus		the entire skin surface / flesh and hide (Compound Noun)
čârnâđan		to pasture / to herd / to graze / to keep in check (Transitive Verb)
čârom	fourth (Ordinal Numeral)
čel	forty (Numeral)
čêpuni	shepherding / tending flock (Noun)
čêpun	shepherd (Noun)
čêrâǧ	lamp / light / candle (Noun)
čêtaw	how / in what manner (Interrogative Adverb)
čê	what (Interrogative Pronoun)
čial	things / matters / belongings (Noun (Plural) Complex)
čil		mouth / inside of the mouth / oral cavity (Noun)
či	thing / matter / item / object (Noun)
čiyan	picking / harvesting / gathering / plucking (Noun/Infinitive)
däfa	time / turn / occasion (Noun)
däf	time / instance / turn (Noun)
dâ	gave / yielded / allowed (Verb (Past))
dahom	tenth (Ordinal Numeral)
dahsal	hands (Noun (Plural) Complex)
dahs	hand / forearm (Noun)
dahsmoz	wages / reward for labor / day-rate pay (Noun)
dâman	hem / skirt edge / border of a garment (Noun)
damdar	doorway / entrance / mouth of a cave or tomb (Noun)
dänahâđan		to lose something / to misplace / to be deprived of (Compound Verb)
daqa	minute / moment / instant / brief second (Noun)
dâral	trees / doors / gates (Noun (Plural) Complex)
dârâyi	possessions / wealth / property / assets (Noun)
dar	door / gate / portal (Noun)
darmawrêd	about / concerning / regarding (Preposition)
dâr	tree / wood / timber / door / gate (Noun)
daryâča	lake / small sea (Noun)
daryâ	sea / large lake / open body of water (Noun)
dastur	command / order / decree / instruction (Noun)
dâvari	judgment / trial / justice / court ruling (Noun)
dävatial	invited guests / those summoned (Noun (Plural) Complex)
dävat	invitation / summons (Noun)
Dâvud	David (Biblical name) (Proper Noun)
dawrobâl	around / surroundings / neighborhood (Noun/Preposition)
dâyan	giving / to give / bestowing (Noun/Infinitive)
dêhun	mouth (Noun)
deibaw	parents (mother and father) (Noun)
dei	mother (Noun)
dender		rib (Noun)
dendun	tooth (Noun)
deř dâđan		to get something/someone back on track (Compound Verb)
dêros	correct / right / exact / proper (Adjective)
dêrosi	accuracy / truthfulness / correctness (Noun)
dêru	lie / falsehood / false / deceitful (Noun/Adjective)
dešmun	insult / curse / abuse / enmity (Noun)
diâr	land / region / country / direction / sight (Noun)
dival	demons / evil spirits (Noun (Plural) Complex)
div	demon / evil spirit / fallen angel (Noun)
divzaya	demon-possessed person (Noun/Adjective)
diyan	seeing / to see / vision / sight (Noun/Infinitive)
diyen	they saw / witnessed (Verb (Past Plural))
diy	saw / perceived / noticed (Verb (Past))
donyâ	world / earth / cosmos (Noun)
dotâ-kakâ	two brothers / a pair of brothers (Noun)
dotâ	two / a pair / a couple (Numeral/Quantifier)
do	two (Numeral)
do vêlâ		twice / two times (Noun Phrase)
dovêlei		for the second time / the second turn / druhýkrát (Ordinal Frequency Noun)
dovom	second (Ordinal Numeral)
dozi	theft / stealing / robbery (Noun)
doz	thief / robber / burglar (Noun)
duâl	belt / strap / pocket / coin pouch (Noun)
duar	daughter / girl / maiden / young female (Noun)
duâzah	twelve (Numeral)
duâzahum	twelfth (Ordinal Numeral)
duâzä	twelve (Numeral)
dumâ	bridegroom (Noun)
dunâ	wise / knowing / clever / intelligent (Adjective)
dunâyal	wise people / sages / elders (Noun (Plural) Complex)
eblis	the Devil / Satan / adversary (Proper Noun)
Ebrâhim	Abraham (Biblical name) (Proper Noun)
ehtêrâm	respect / honor / esteem (Noun)
eiđ	feast / festival / celebration / high holiday (Noun)
ei	O / oh (vocative particle calling someone) (Interjection)
Elâzar	Eleazar (Biblical name) (Proper Noun)
Eliud	Eliud (Biblical name) (Proper Noun)
Elyâqim	Eliakim (Biblical name) (Proper Noun)
enjil	Gospel / Good News / Sacred message (Noun)
ensân	human being / mankind / person / mortal (Noun)
ensâni	human / mortal / worldly (Adjective)
ê	of (Preposition)
eqrâr	confession / acknowledgement / declaration (Noun)
eqtêđâr	authority / power / dominion / legal right (Noun)
erâda	will / desire / intention / purpose (Noun)
ermiâ	Jeremiah (Biblical prophet) (Proper Noun)
ešnoftan	hearing / to hear / auditing (Noun/Infinitive)
ešnoft	heard / listened to / perceived sound (Verb (Past))
esrâf	waste / extravagance / squandering (Noun)
esrâîl	Israel (Biblical nation) (Proper Noun)
esteqbâl kerdan		to welcome / host a formal reception [Rejected Arabic/Persian loanword] (Compound Verb)
estêrâhat	rest / relaxation / repose (Noun)
ettêfâqal	events / incidents / signs (Noun (Plural) Complex)
ettêfâq	event / incident / happening / agreement / chance (Noun)
falajal	paralytics / those crippled (Noun (Plural) Complex)
falaj	paralytic / paralyzed / lame (Noun/Adjective)
falak	firmament / sky / heavens / stellar vault (Noun)
faqat	only / merely / solely (Adverb)
faqir	poor / needy / destitute (Noun/Adjective)
farisial	Pharisees (Noun (Plural) Complex)
farisi	Pharisee (Noun/Proper Noun)
fâsed	corrupt / rotten / spoiled / wicked / depraved (Adjective)
fasl	chapter / section / season / text partition (Noun)
fawran	immediately / at once / without delay (Adverb)
Fêres	Perez (Biblical name) (Proper Noun)
frêšta	angel / messenger of heaven (Noun)
frêštêyal	angels / heavenly messengers (Noun (Plural) Complex)
feř	flight / to fly / escaping upward (Noun/Verb Stem)
frušanda	seller / merchant / vendor (Noun)
frušandêyal	sellers / merchants / shopkeepers (Noun (Plural) Complex)
Filipos	Philip (Biblical name) (Proper Noun)
gala		herd / flock / pack / horde (Noun)
gâla		yell / battle cry (Noun)
gand	foul / bad / rotten / corrupt / stinking (Adjective)
gandombêrešta		roasted/parched wheat (Compound Noun)
gandom	wheat / grain crops (Noun)
ganj	treasure / hidden wealth (Noun)
gäpal	words / talks / sayings / statements (Noun (Plural) Complex)
gapu	big / great / adult / elder / large scale (Adjective)
gaputar	bigger / greater / elder / chief leader (Adjective (Comparative))
gap	word / speech / talk / conversation (Noun)
gâyal	oxen / bulls / cows / herd cattle (Noun)
gênâkâral	sinners / wrongdoers (Noun (Plural) Complex)
gênâkâr	sinner / sinful / transgressive (Noun/Adjective)
gênâ	sin / offense / fault / debt of wrong (Noun)
gênâyal	sins / faults / errors (Noun (Plural) Complex)
gêriva	weeping / crying / lamenting (Noun/Verb Stem)
gêrotan	taking / catching / to hold / gripping (Noun/Infinitive)
gêrot	took / captured / caught / received (Verb (Past))
gijgâ		temple / temporal bone region of the skull (Noun)
ǧirat		zeal (Noun)
gong	mute / dumb / unable to speak (Noun/Adjective)
gorgal	wolves (Noun (Plural) Complex)
gosna	hungry / (Adjective)
guk eškanâyan		to walk playfully like in a Fashion show / to walk like a young calf (Verb Phrase Complex)
guk		hip / buttocks / seat (Noun)
hargali		disorganized (Adverb)
häsaxun		bone (Noun)
häs		bone (Noun)
iâbu…?		would it be possible…? / will it become possible…? [Recommended purist phrase] (Verbal Phrase)
il		tribe (Noun)
išêhe…?		is it possible…? / can it be done…? / dá sa…? [Recommended purist phrase] (Verbal Phrase)
i vêlâ		this time (Noun Phrase)
iyargarde		he / she / it returns (Verb / Present 3rd Sg)
iyargarden		they return (Verb / Present 3rd Pl)
iyargardim		we return (Verb / Present 1st Pl)
iyargardit		you all return / (Verb / Present 2nd Pl)
iyargardi		you return (Verb / Present 2nd Sg)
iyargardom		I return / (Verb / Present 1st Sg)
jalil	Galilee (Biblical location) (Proper Noun)
jämâat	crowd / multitude / assembly / congregation (Noun)
jäm	gather / assembly / collection / together (Noun/Verb root)
jämiat	crowd / population / multitude / massive gathering (Noun)
jämke	gathered / assembled / collected (Verb (Past Compound))
jämkerden	they gathered / collected (Verb (Past Plural Compound))
jangal	wars / battles / conflicts (Noun (Plural) Complex)
jâ	place / spot / room / seat / space / locational stead (Noun)
jašn-ê-tavallod	birthday celebration / feast of birth (Noun)
jašn	feast / festival / celebration / party (Noun)
javâb	answer / response / reply (Noun)
javâbdâ	he answered / replied (Verb (Past Compound 3rd Sg))
javâbdân	they answered / replied (Verb (Past Plural Compound))
jâyal	places / locations / sites / spots (Noun (Plural) Complex)
jâyez	permissible / lawful / allowed / religiously clean (Adjective)
jei	place / space / stead / positioning rank (Noun)
jêkehsen	they ran / rushed / dashed away (Verb (Past Plural))
jêlaw	front / ahead / before / in advance of (Preposition/Noun)
jênjâl	riot / commotion / uproar / argument (Noun)
jens	kind / type / race / species / class of items (Noun)
jesm	body / flesh / physical frame (Noun)
jiâ-kerden	to separate / divide / split apart (Verb/Infinitive)
jiâ	separate / divided / split off / distinct (Adjective)
jiâvâbi	became separate / parted ways (Verb (Past Compound))
jiâvâbu	become separate / let it become separate (Verb (Subjunctive 3rd Sg))
jit		throat (Noun)
joft	pair / matching / together / joining up (Noun/Adjective)
jozâmial	lepers / those afflicted with leprosy (Noun (Plural) Complex)
jozâmi	leper / leprous / skin-diseased (Noun/Adjective)
jozâm	leprosy / skin disease (Noun)
juma	garment / robe / shirt / long tunic (Noun)
jumêyal	garments / robes / shirts / clothing items (Noun (Plural) Complex)
jun	soul / life / dear one / vital force (Noun)
kafarnâhum	Capernaum (Biblical city) (Proper Noun)
kâhenal	priests / temple officials (Noun (Plural) Complex)
kâhen ê äzam	high priest / chief religious leader (Noun)
kâhen	priest / religious temple official (Noun)
kakâ	brother (Noun)
kakâyal	brothers / kinsmen (Noun (Plural) Complex)
kalâ	crow  (Noun)
kalak	evil / malicious / deceitful / trickster trait (Noun/Adjective)
kalâm	word / message / speech / word of God (Noun)
kâmel	perfect / complete / whole / flawless (Adjective)
kanisa	synagogue / temple assembly / local house of prayer (Noun)
kanisêyal	synagogues / local assembly halls (Noun (Plural) Complex)
kaniz	maidservant / female servant / slave girl (Noun)
käřal	deaf people (Noun (Plural) Complex)
kâral	works / deeds / actions / operations (Noun (Plural) Complex)
kař	deaf (Noun/Adjective)
kârgäral	workers / laborers / employees (Noun (Plural) Complex)
kârgar	worker / laborer / hired hand (Noun)
karnâ	horn / trumpet / musical signaling instrument (Noun)
kâr	work / deed / action / affair / dynamic occupation (Noun)
käsal	persons / people / individuals / figures (Noun (Plural) Complex)
kasif	dirty / unclean / filthy / defiled (Adjective)
kasi	someone / anyone / a person / individual soul (Noun/Pronoun)
katun	linen / cotton cloth / fine white fabric (Noun/Adjective)
kâxal	palaces / mansions / royal houses (Noun (Plural) Complex)
kâx	palace / mansion / grand residence (Noun)
kêčêlu	small / little / tiny / young child status (Adjective)
kêčêlutar	smaller / younger (Adjective (Comparative))
keil	measure / gauge / volume container standard (Noun/Verb root)
kei	when / at what point in time (Interrogative Pronoun)
kêlič		finger (Noun)
kênim	we do / that we make / execute (Verb (Subjunctive 1st Pl))
kêsila kašiyan		telling a long story (Verb Phrase Complex)
kêsilakaš		someone who tell a long story (Noun)
kêsila		navel / a long and boring story (Noun)
kêsilanevis		navel writer (Noun)
kešti	boat / ship / ark / large sailing vessel (Noun)
kêtâbal	books / scriptures / sacred scrolls (Noun (Plural) Complex)
kêtâb	book / scroll / written account (Noun)
kif	bag / pouch / leather case / phylactery container (Noun)
ki	who / which person (Interrogative Pronoun)
klilal	keys / locking controllers (Noun (Plural) Complex)
klil	key (Noun)
klisâ	church / assembly of believers / sacred body (Noun)
klo	locust / grasshopper (Noun)
klufanâ	wave / rough wave / storm agitation / billow (Noun)
klufanâyal	waves / billows / stormy surges (Noun (Plural) Complex)
ko	do! / make! / execute! (Verb (Imperative))
kofr	blasphemy / infidelity / sacrilege (Noun)
koh	mountain / hill / high ridge (Noun)
kom	belly / stomach / womb / midsection (Noun)
komu	gluttonous / belly-focused / heavy eater (Adjective)
koral	sons / boys / male youths (Noun (Plural) Complex)
korf	blasphemy / infidelity / sacrilege (Noun)
kor	son / boy / youth / male offspring (Noun)
košta	killed / slain / executed (Adjective/Participle)
koštan	killing / to kill / executing (Noun/Infinitive)
košten	they killed / executed (Verb (Past Plural))
košt	killed / slew / executed (Verb (Past 3rd Sg))
kučo	where / in what location (Interrogative Adverb)
kura	furnace / oven / fiery kiln (Noun)
kural	blind people (Noun (Plural) Complex)
kur	blind (Noun/Adjective)
ku	where / which / what side (Interrogative Pronoun)
kuzêgäral	potters (Noun (Plural) Complex)
kuzêgar	potter / clay vessel craftsman (Noun)
lah	tramping / pressing / treading out (grapes) (Noun/Verb root)
lämâbiđan		to become lame (Intransitive Verb)
läm		lame (Adjective)
läwal	lips / boundaries / vocal rims (Noun (Plural) Complex)
law	lip / edge / border / shore margin (Noun)
lawriz	overflowing / full to the brim / spilling over (Adjective)
lâzem	necessary / required / essential / imperative (Adjective)
lêbâs	clothes / clothing / garment / vestment (Noun)
liâqat	worthiness / merit / competence / fitness status (Noun)
liz gêrotan	to rest in nest (Compound Verb)
lorka zan		cry out the Luri battle-cry! / shout the tribal ululation! (Imperative Phrase)
loxt	naked / bare / stripped / exposed (Adjective)
mäbađ	temple / sanctuary / altar / holy house (Noun)
mâbein	between / among / middle context (Preposition)
mâhi	fish (Noun)
mâhigiral	fishermen (Noun (Plural) Complex)
mâhigir	fisherman (Noun)
mahkama	court / tribunal / place of judgment / legal hall (Noun)
mahkum	condemned / convicted / sentenced / guilty party (Adjective/Noun)
mahsul	harvest / crop / yield / produce (Noun)
majles	gathering / meeting / assembly counsel / court audience (Noun)
malaka	queen / female sovereign (Noun)
mäli	very / much / numerous / highly abundant (Adverb/Adjective)
malmal	fine linen / silk / soft fabric / premium attire (Noun/Adjective)
mälumâbi	became evident / was revealed (Verb (Past Compound))
mälum	evident / clear / known / manifest (Adjective)
mâmêlagari	business / trade / commerce / financial dealing (Noun)
mantaqa	region / zone / district / territory boundary (Noun)
mantaqêyal	regions / districts / territories (Noun (Plural) Complex)
manzel	dwelling / home / stage / residing place (Noun/Verb root)
manzelke	dwelled / resided / stayed at (Verb (Past Compound))
maqâm	position / rank / high office / station / status (Noun)
maqbara	tomb / sepulcher / grave / burial site (Noun)
mâral	snakes / serpents / vipers (Noun (Plural) Complex)
mardêmun	people / crowd / population (Noun)
mardom	people / public / crowd (Noun)
marg	death / passing away (Noun)
marizi	sickness / illness / disease / affliction (Noun)
marmari	made of marble / crystalline stone template (Adjective)
mâr	snake / serpent / viper (Noun)
märuf	famous / known / celebrated / well-known (Adjective)
Maryam	Mary (Biblical name) (Proper Noun)
masälal	parables / proverbs / examples (Noun (Plural) Complex)
masal	parable / proverb / example / allegorical lesson (Noun)
masih	Christ / Messiah / Anointed One (Proper Noun)
maslubâbu	become crucified / let it become crucified (Verb (Subjunctive 3rd Sg))
maslub	crucified / hung on a cross (Adjective/Participle)
mašreq	east / dawning point of the sun (Noun)
Matâ	Matthew (Biblical name) (Proper Noun)
mâtamdâral	mourners (Noun (Plural) Complex)
mâtamdâr	mourner / mourning / heavy-hearted (Noun/Adjective)
mâtam	mourning / grief / funeral lamentation (Noun)
matilal		stories / tales and proverbs (Plural Compound Noun)
matil		story / tale and proverb (Noun)
maweza	sermon / preaching / moral message / discourse (Noun)
mawoud	promised / prophesied / designated (Adjective)
mawrêd	case / topic / matter context frame (Noun)
mazâr	tomb / shrine / grave / sacred burial spot (Noun)
mazg		brain / marrow (Noun)
mazraa	field / farm / agricultural plot (Noun)
meidun	square / courtyard / open field / public common market (Noun)
meimunal	guests / visitors (Noun (Plural) Complex)
meimun	guest / visitor (Noun)
meimunial	feasts / banquets / dinner parties (Noun (Plural) Complex)
mên	in / inside / inside of / within (Preposition)
mênjâoftâđa		completely lame (Adjective)
mênjâya		is bedridden (verb)
mênkoma		entrails / innards / internal viscera (Collective Noun)
merdal	men / husbands (Noun (Plural) Complex)
merd	man / husband / male adult (Noun)
mess	copper / bronze / bronze coin / base metal change (Noun)
mesr	Egypt (Biblical location) (Proper Noun)
mial	hairs / locks / head strands (Noun (Plural))
mi	hair (Noun)
mira	husband / man / lord / master / spouse provider (Noun)
mirâs	inheritance / legacy / birthright estate (Noun)
mišal	sheep / flock elements (Noun (Plural) Complex)
miš	sheep (Noun)
miva	fruit / crop yield / genetic outcome (Noun)
našm		coquetry (Noun)
navabêram	deformed / abnormal (Adjective)
mivêyal	fruits / produce yields (Noun (Plural) Complex)
oftâvařä	went out / walked out / exited path loop (Verb (Past 3rd Sg))
ombêlâ		again / once more / anew (Adverb)
pâpâ kerdan		to walk slowly, quietly, or take baby steps (Verb Phrase Complex)
pâpič		puttee (Noun / Verb Element)
pas ê sar		back of the head (Compound Noun)
pati		bare / naked / empty / stripped (Adjective / Adverb)
puřesan		to lie in ambush / to hide with tactical intent to attack (Intransitive Verb)
pus		skin / epidermis (Noun)
qabâ	coat / cloak / long tunic / outer garment (Noun)
qabâyal	coats / cloaks / tunics / outer garments (Noun (Plural) Complex)
qabul	acceptance / accepted / received favorably (Noun/Adjective)
qadim	ancient / old times / historical era context (Noun/Adjective)
qađ	waist / stature / height / physical midsection scale (Noun)
qânun	law / rule / canon / regulated standard (Noun)
qarz	debt / loan / financial deficit (Noun)
qarz-et	your debt / your loan (Noun Complex)
qasämal	oaths / solemn vows (Noun (Plural) Complex)
qasam	oath / swearing / solemn vow (Noun)
qät	cut / sever / slice off / terminate (Noun/Verb root)
qâtelal	killers / murderers (Noun (Plural) Complex)
qâtel	killer / murderer / executioner (Noun)
qät-kerden	to cut / sever / disconnect (Verb/Infinitive)
qavitar	stronger / mightier / more powerful (Adjective (Comparative))
qawm	people / tribe / ethnic nation / clan group (Noun)
qâyeq	boat / small vessel / skiff / fishing boat (Noun)
qêzâvat	judgment / criticism / parsing fault / sentencing (Noun)
qiâmat	resurrection / rising up day / final judgment wake (Noun)
qimat	price / value / cost / monetary valuation (Noun)
qiřa	shout / cry / scream / loud proclamation call (Noun)
qiyâfâ	Caiaphas (Biblical High Priest name) (Proper Noun)
qors	firm / solid / stout / brave of heart (Adjective)
rafiq	friend / companion / ally (Noun)
rahâ	free / released / set loose / unbound (Adjective)
řahimal	the merciful ones / those showing compassion (Noun (Plural) Complex)
řahim	merciful / compassionate / gracious (Adjective)
řahm	mercy / compassion / grace / anatomical womb (Noun)
řahtan	going / to go / walking out (Noun/Infinitive)
rasiy	arrived / reached / matured / came to pass (Verb (Past 3rd Sg))
rasiyen	they arrived / reached / matured (Verb (Past Plural))
řätan	going / to go / walking out (Noun/Infinitive)
řäten	they went / departed / set out (Verb (Past Plural))
řät	went / departed / set out (Verb (Past 3rd Sg))
řä	way / path / road / course / went (shortened past root) (Noun/Verb Stem)
rawna	setting out / heading towards / outbound path (Noun/Adjective)
rawšanâyi	light / brightness / clarity / radiant illumination (Noun)
řäyal	ways / paths / roads / courses (Noun (Plural) Complex)
râzal	secrets / mysteries / hidden truths (Noun (Plural) Complex)
râz	secret / mystery / hidden truth / grapevine element (Noun)
riâkâral	hypocrites / deceitful actors (Noun (Plural) Complex)
riâkâr	hypocrite / hypocritical / mask-wearing (Noun/Adjective)
riâkâri	hypocrisy / pretense / double-dealing (Noun)
ři	face / surface / front facade  (Noun)
řiša	root / foundational base / source anchor (Noun)
rondan		to drive / to push forward / to steer / to chase (Transitive Verb)
řosvâ	disgraced / shamed / exposed / publicly humiliated (Adjective/Noun)
ruǧan	oil / grease / ointment / fuel lipid (Noun)
řuhal	spirits / ghostly entities (Noun (Plural) Complex)
ruhi		spiritual (Adjective)
řuholqodos	the Holy Spirit / Sacred Breath (Proper Noun)
řuh	spirit / breath / soul / non-physical being (Noun)
řu	river / stream / current (Noun)
ruza	fast / fasting / ritual abstinence (Noun)
ruzal	days / diurnal blocks (Noun (Plural) Complex)
ruz	day / daylight period (Noun)
ruzêgâr	era / time / epoch / days of old / ancient generation (Noun)
ruzi	daily bread / sustenance / provision / mapped destiny (Noun)
sâat	hour / watch / time block / clock unit (Noun)
